year,rsfull_all,rsfull_taipei,rsfull_taichung,rsfull_keelung,rsfull_tainan,rsfull_kaohsiung,rsfull_newtaipei,rsfull_taoyuan,rsfull_chiayi,rsfull_hsinchu,rsfull_yunlin,rsfull_pingtung,rsfull_hualien,rsfull_taitung
2000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2001,0.9412408215977482,0.882183442825587,0.9950389997345638,0.9090939189026541,0.9061958722836488,0.895369170287606,0.9490373401158944,1.111745690782945,0.9612418824578628,1.1994315503270054,0.841912212160954,0.9413810859077308,0.9994313231250119,0.8998986043706676
2002,0.9028836179406394,0.9006533382894887,0.9703631142736693,0.8930354372878456,0.8343825075494234,0.8499308917856403,0.9314115319149854,0.8459218739843319,0.8939748849166179,1.3866756865455674,0.8281491586768157,1.0122896678039026,1.109031228975602,1.4468256195200047
2003,0.8694002535958638,0.8957942901890361,0.8947572625559603,0.8451971336051275,0.8044053717892986,0.8082839726877715,0.9292581675704725,0.7569293370112539,0.8479908822868668,1.3749971112577275,0.8497298081390534,0.9703243706843432,0.8845994855407232,0.8975145732849811
2004,0.9123169699312184,1.0018175199218495,0.9543556055553358,0.8373043210112595,0.8452588621651796,0.8024419532381544,0.990770634890677,0.8019177253298457,0.8700593854397017,1.5344472628013757,0.8656598742466327,0.9038894663475091,0.8304148092690816,0.8745205719655667
2005,0.9602528641744623,1.0985226734799562,1.0004608918527196,0.8375302831443598,0.9005064190223828,0.7907700475894889,1.0714451154381233,0.7352951043515072,0.8685533926034578,1.4853573148115247,0.8751241097512923,0.9166719431990898,0.9022821353488957,0.964994673177622
2006,1.0070205397771625,1.1949157338544527,1.070619866660435,0.8784104071501808,0.9244160460671067,0.7897006414235465,1.1065384333045027,0.7466373939828571,0.8926763888196605,1.6914856136981098,0.911749742255284,1.0132931629965927,0.9183776856019508,0.7786109901720641
2007,1.0439600259461037,1.3508247715309842,1.063655339911491,0.8762628219775803,0.9254192347170813,0.7216891454583074,1.1624087287049516,0.8138882853223488,0.9122067811261699,1.6985122954462184,0.8746170471510111,1.0638458955461458,0.8606029456645251,0.7488067319668976
2008,1.0904209527291908,1.4319098190050157,1.1018050916006052,0.8977603601200886,0.9348401191149512,0.7295965652803641,1.2293969613029825,0.7789904467071974,0.9051756845733269,1.809524875199483,0.9562363863411912,1.0851708949230894,0.9362612007830207,0.8099217044036997
2009,1.1098544661299936,1.4781908455076296,1.1100453297706654,0.8969233057505178,0.9347108726238338,0.7243669439271674,1.2483933660016864,0.773486527962755,0.8751255817710126,1.839571357232054,0.9426183428634876,1.0508701170756134,0.8603925057753425,0.8678212445902235
2010,1.2241542780850008,1.732852310183026,1.1534562838059041,0.9475016365241139,1.0035371123644,0.737939044072005,1.4097154089085888,0.8167240761663314,0.8733217227411484,1.8472085980662003,1.0116558140845582,1.0703012889739436,0.9166850479015519,0.9574701977420405
2011,1.3022432398782016,1.961460260430412,1.1982782183866685,0.9843089895494088,1.061840999787233,0.810864845851438,1.6331164526703976,0.8961464023374875,0.7843817296120509,1.9481559137098656,1.1445593628601878,1.1065416878498529,0.9959219019624624,
2012,1.3878781088278804,2.19105015171379,1.2819287756782833,1.032686500161321,1.0820133203630233,0.8276432857438444,1.813894069420737,0.9601588794100937,0.7060113619820506,1.8268725832188415,1.1810555989127627,0.8806451888459947,0.949852806059909,0.9346942231971291
2013,1.6121547700045178,2.3497934880455755,1.475566809294917,1.1838513565922355,1.2296928822047588,0.9681166977032898,2.0658818660493283,1.186199002721378,0.7819750780813266,1.9870980777555334,1.305039154414268,1.0004482484011228,1.1253022075434083,1.0575454780147768
2014,1.8135909823563634,2.4251621075842875,1.6533827651906188,1.3828492190241217,1.4391248918635888,1.116458679908959,2.263137404416625,1.3800399099639813,0.8746920201936194,2.1692975610976983,1.3572441739974097,1.133932307094011,1.411809064008396,1.2448367958457704
2015,1.8852979254539302,2.360799132957634,1.738416433896176,1.5264146387689987,1.5162698447735035,1.1709811711152494,2.2433044680509857,1.4437472197399446,0.944391438680301,2.3151638371302896,1.3836530496113388,1.2719020201208053,1.6187170205169157,1.4727886209577514
2016,1.881228528051036,2.3131852030057263,1.7532187372760557,1.6074604949135594,1.526431897475689,1.1733185185185184,2.193739993993471,1.4198964891118462,0.9784334709255342,2.317314431535255,1.4812133206206084,1.3069129502485666,1.6944373865103994,1.5866413875498357
2017,1.9246051316765316,2.2694853650448406,1.8229291267472978,1.6623399339797325,1.6119820380595156,1.2147015932133252,2.195860798939438,1.431100102996243,1.0014491589216044,2.315253536574126,1.5011840259537441,1.4096321095917146,1.70787039486426,1.6834927205079204
2018,2.012817276395523,2.3157007476849087,1.9111333898937404,1.6884129961985055,1.698327350232477,1.2391538175046555,2.2324778785188344,1.470622258806409,1.0577573775010276,2.371407946037107,1.5116793584279224,1.481450486032483,1.7163938990194385,1.791226324429
2019,2.072135603130259,2.3656810118006675,1.9924736936036909,1.7878333399717863,1.9542153853984292,1.31220028967515,2.279472246069387,1.5323118907131799,1.129750697503925,2.3757599219048506,1.3747282848725948,1.6692090599720255,1.763163796322303,1.9785536279875866
