quarter,cll,official,sinyi,cathay,aife
2000Q1,0.770928,,,0.639391,
2000Q2,0.775155,,,0.655137,
2000Q3,0.756986,,,0.642876,
2000Q4,0.749533,,,0.648167,
2001Q1,0.736725,,0.409499,0.658751,
2001Q2,0.729074,,0.40366,0.613578,
2001Q3,0.717445,,0.399731,0.629195,
2001Q4,0.686703,,0.394678,0.594347,
2002Q1,0.690115,,0.399843,0.574858,
2002Q2,0.694928,,0.409499,0.574084,
2002Q3,0.686248,,0.407927,0.582344,
2002Q4,0.664666,,0.409724,0.581699,
2003Q1,0.658683,,0.413429,0.58557,
2003Q2,0.651775,,0.405906,0.572535,
2003Q3,0.655516,,0.428812,0.589572,
2003Q4,0.665179,,0.439591,0.593314,
2004Q1,0.685265,,0.460813,0.59809,
2004Q2,0.74482,,0.477656,0.63668,
2004Q3,0.688299,,0.487424,0.628033,
2004Q4,0.690707,,0.499551,0.640681,
2005Q1,0.717051,,0.505614,0.643134,
2005Q2,0.724997,,0.517516,0.644166,
2005Q3,0.727121,,0.52706,0.628678,
2005Q4,0.737069,,0.540759,0.65604,
2006Q1,0.746626,,0.543342,0.679788,
2006Q2,0.761291,,0.569616,0.671657,
2006Q3,0.763404,,0.577925,0.688049,
2006Q4,0.777197,,0.602515,0.696567,
2007Q1,0.755596,,0.623063,0.7389,
2007Q2,0.803692,,0.640467,0.746902,
2007Q3,0.794139,,0.634853,0.757357,
2007Q4,0.806291,,0.624972,0.782912,
2008Q1,0.823381,,0.657197,0.778911,
2008Q2,0.838946,,0.670559,0.807047,
2008Q3,0.827102,,0.653829,0.809628,
2008Q4,0.808827,,0.621267,0.802142,
2009Q1,0.799626,,0.625758,0.743418,
2009Q2,0.825866,,0.662699,0.770263,
2009Q3,0.847817,,0.706265,0.766004,
2009Q4,0.877225,,0.730968,0.816727,
2010Q1,0.896098,,0.756793,0.845509,
2010Q2,0.904757,,0.782394,0.870676,
2010Q3,0.939328,,0.802493,0.889391,
2010Q4,0.970487,,0.846733,0.911203,
2011Q1,0.994834,,0.884348,0.947599,
2011Q2,0.905874,,0.895688,0.979608,
2011Q3,0.93538,,0.921177,0.985287,
2011Q4,0.944698,,0.929373,0.963087,
2012Q1,0.95538,,0.946328,0.993934,
2012Q2,1.010261,,0.987986,1.050981,
2012Q3,1.0,1.0,1.0,1.0,1.0
2012Q4,1.027078,1.010005,1.019425,1.063113,1.032025
2013Q1,1.070344,1.048886,1.061419,1.094089,1.08078
2013Q2,1.122872,1.098151,1.140467,1.121838,1.138395
2013Q3,1.160918,1.126393,1.150236,1.127775,1.187154
2013Q4,1.203445,1.149569,1.173366,1.199793,1.223935
2014Q1,1.23085,1.190856,1.190546,1.169721,1.254281
2014Q2,1.269642,1.211373,1.219403,1.191791,1.278536
2014Q3,1.267986,1.237082,1.207501,1.205601,1.293213
2014Q4,1.288148,1.254686,1.198181,1.183402,1.300264
2015Q1,1.309185,1.276216,1.195037,1.165204,1.30756
2015Q2,1.317734,1.268364,1.184707,1.19192,1.308734
2015Q3,1.311277,1.267477,1.168875,1.16017,1.295518
2015Q4,1.30111,1.261398,1.149225,1.085312,1.281659
2016Q1,1.300528,1.257852,1.122838,0.945663,1.275129
2016Q2,1.305079,1.276089,1.14552,0.917527,1.27972
2016Q3,1.312546,1.275203,1.142376,0.986577,1.27966
2016Q4,1.30425,1.254939,1.134516,0.951084,1.275663
2017Q1,1.306153,1.259119,1.139457,0.975865,1.278584
2017Q2,1.321779,1.264691,1.156299,0.976639,1.284778
2017Q3,1.324227,1.275203,1.145071,0.979608,1.2875
2017Q4,1.33999,1.274063,1.154615,1.030201,1.290651
2018Q1,1.350888,1.274316,1.160341,1.00413,1.29487
2018Q2,1.363509,1.267477,1.169324,1.028007,1.299892
2018Q3,1.367569,1.274443,1.162924,1.020134,1.304286
2018Q4,1.373127,1.276596,1.176061,1.081699,1.309824
2019Q1,1.357739,1.280268,1.184819,1.097961,1.320903
2019Q2,1.384337,1.286601,1.205816,1.094992,1.334161
2019Q3,1.422468,1.311677,1.201213,1.115901,1.345898
2019Q4,1.456175,1.318896,1.214125,1.126484,1.357181
2020Q1,1.53951,1.325861,1.216483,1.150878,1.369159
2020Q2,1.482359,1.334726,1.239165,1.197728,1.388966
2020Q3,1.339285,1.353723,1.274534,1.221477,1.419306
2020Q4,1.520032,1.369934,1.293061,1.217605,1.45458
2021Q1,1.68697,1.400836,1.347968,1.228317,1.492525
2021Q2,1.663599,1.423759,1.369077,1.22935,1.533115
2021Q3,1.596001,1.454281,1.403885,1.275555,1.595229
2021Q4,1.688554,1.488095,1.482147,1.374548,1.68146
2022Q1,1.791179,1.532548,1.537615,1.562339,1.763012
2022Q2,1.848486,1.570035,1.5713,1.656298,1.81414
2022Q3,1.905331,1.599924,1.6234,1.70586,1.835998
2022Q4,1.967238,1.614868,1.595104,1.717346,1.846919
2023Q1,2.016844,1.631839,1.614979,1.690501,1.871573
2023Q2,2.021154,1.656535,1.651808,1.789365,1.909835
2023Q3,2.111219,1.686677,1.682237,1.766649,1.952662
2023Q4,2.159236,1.724924,1.722883,1.77065,2.008079
2024Q1,2.290489,1.783435,1.78419,1.795173,2.086533
2024Q2,2.380715,1.855117,1.847631,1.915462,2.166866
2024Q3,2.451058,1.89577,1.891983,2.052013,2.198542
2024Q4,2.472807,1.912107,1.902762,2.075503,2.190188
2025Q1,2.522405,1.887411,1.891085,2.091766,2.172996
2025Q2,2.549559,1.882599,1.845834,2.086603,2.148774
2025Q3,2.498331,1.842199,1.894565,2.081053,2.128291
2025Q4,2.50096,,1.833034,2.097832,2.126556
